,Subject,Content
4477,H: when you have time... Sid,For Hillary
4478,"Rothkopf on Jones, et al",http www foreignpolicy com articles goodbye mr jones Goodbye Mr And good riddance Why Jim was the worst national security advisor in decades BY DAVID J ROTHKOPF I OCTOBER The president s inexperience did in more than any of the general s deficits He didn t know what he wanted He vacillated on key issues He simply demonstrated the problems America repeatedly has when it hires men with no foreign policy background to take on the most important international job in the world Further he did not really know enough about how the presidency works to nip in the bud the creation of the inner circle bubble that effectively negated much of the work that the formal policy process did Obama encouraged or tolerated for long enough that it looks like encouragement his campaign foreign policy deputies to continue to report directly to him and this led to some public and private backdooring of that undercut his authority dramatically He did not empower and that combined with s own shortcomings led to the zero chemistry ineffective collaboration that has been openly criticized by senior White House and foreign policy officials since the spring of Obama s first year in office In fact the situation got so bad that was publicly undercut by true Obama confidante more than once It is something of a surprise he lasted this long As one former national security advisor said to me while we were discussing a well known instance of publicly undercutting That would have only happened once on my watch It would have been me or him
4479,H: FYI. Sid,The Huffington Post oward Fineman finemanAhuffingtonpost com I HuffPost Reporting The Power Of Clinton The Invisibility Of Obama First Posted PM I Updated PM LOUISVILLE I see that Dr Rand has taken out after Bill Clinton dredging up Lewinsky And I know why did so The former president was here in Kentucky yesterday and in this state as in many others he is a far more potent and popular foe than President Barack Obama On my first day working for The Huffington Post I came back to Kentucky where I began my career many years ago at the Courier Journal The people who run the University of Louisville Kentucky Author Forum wanted me to do an on stage interview with a certain best selling author who is also my new boss Arianna Huffington It was a tricky mix of professional incest and personal nostalgia but the event worked out well and I also got a chance to play Kentucky reporter once again out in the state I raced over to Lexington and here is the ground level outside the Beltway reality I witnessed Like Voldemort s Obama s is a name no one dares utter and that includes Clinton speaking to Democrats At a sunny noontime rally on the campus of the University of Kentucky in Lexington yesterday the former president made a stirring well argued case for Democratic Senate candidate Jack Conway and for Democrats generally without once mentioning Obama and rarely mentioning the presidency It was as though we suddenly had only two branches of government To be fair almost no one else at the one hour rally mentioned the sitting president And Kentucky is staunch Republican territory We re farther ahead in the generic ballot here than ever GOP Senator Mitch McConnell of Kentucky told me yesterday President Obama was never popular here even at his peak Still the eerie invisibility of the president is a telling commentary on the Democrats confused divided and defensive predicament as they brace for the verdict of the voters on Election Day Nov There was something odd and if you re a Democrat depressing about a former Democratic president avoiding any mention of his Democratic successor Clinton sincerely wants to help out on the trail and certainly wants to avoid the accusation that he didn t try to help But his travels have turned a personal victory lap that often makes him not the candidate he s touting the center of attention That was true here in Kentucky The rally s mechanics were mostly handled by the Secret Service more to the point the final and therefore top billed speaker wasn t Conway It was Clinton The Conway people didn t mind They were glad to have him Rail thin but not frail wearing a tweedy professorial sports coat and his signature rueful knowing smile Clinton was treated with a respect bordering on awe His familiar mane of white hair thinning now was translucent in the sun giving him an almost otherworldly look the Sage from a Better Age Clinton is beloved In Kentucky He won the state twice He speaks the local dialect which contains Appalachian notes of working class pride suspicion of big shots and Baptist revivalism But more than that and more than just in Kentucky Clinton s economic record million jobs created and he tends not to forget to mention the looks spectacularly good in the context of what has followed These days there is almost an Old Testament milk and honey reverence for that economic record at least as expressed by former Kentucky Sen Wendell Ford An old school podium pounder Ford stooped but still strong voiced at talked of the former president in messianic terms Bill Clinton found us the path to gold he shouted The crowd of most of them students didn t laugh They seemed to think he was right How any of this helps Obama is far from clear it isn t even clear that it helps many Democrats since they d be joining the same Washington party that the current president ostensibly heads But Clinton is all too happy to show Obama how it s done As a campaigner and as president Clinton s gift was his ability to untangle the knots of even the most complex policy issue and explain it in plain language to people suspicious of the powerful but eager not to be screwed by them or to be seen as dupes Republicans and their corporate allies were out to shut down the few good things that government does for you he said in the name of balancing a budget that they themselves destroyed I gave you budget surpluses Clinton said as if this had been an act of personal beneficence Knowing his audience the former president focused on Pell Grants and on a new program that allows graduates to pay back their loans over longer periods and at lower rates he said will try to take that new program away and given the GOP s deliberate vagueness about spending cuts there is reason to think Clinton is right Which is why got personal today Which means Clinton drew blood Which means that he did what he came to do Which means Obama will remain invisible at least in Kentucky at least for now and probably for a long time to come Ci
4480,Re: Haiti - child trafficking,That is important I will work on it there s a very long and sobering list Does Jillian have specific ideas
4481,Fw: Haiti - child trafficking,Pls print
4482,Re: Issues I cover,Thx Mike I d like to meet w you this week Pls get a time from
4483,Re: <no subject>,Declan Thanks for your email Of course it s not personal But I do think it s wrong When we were in Government we believed we could only succeed if we treated Northern Ireland as a bi partisan issue and I encouraged other Governments to adopt the same approach That meant when President Bush was in the White House I went out of my way always to see and brief Democrats in Congress and in the Senate whenever I came to the States It also meant when we held the first economic conference led by Mayor Bloomberg in Belfast the dinner we gave at Hillsborough was not restricted to just those in respective Governments In respect of how we handled the issue within the UK that didn t mean I invited the Shadow Secretary of State to share every platform but the Shadow was not excluded from being at major events Indeed we made a point of not only saying we were bi partisan but acted accordingly Having brokered the Hillsborough Agreement and having discussed with your Secretary of State at all stages how the US could help through an Economic Conference I am obviously somewhat disappointed not to have been invited to attend the Conference in any capacity That of course should never be confused with my deep respect and adMiration for Secretary Clinton Frankly without her help during her time in the White House as a Senator as a candidate and now as Secretary we could never have made the progress we did You will know that at the time I was always disappointed that her contribution to the peace process and political process was not recognized appropriately by the Conservative Party and their spokesmen when they were in Opposition The decision by Owen Patterson to decide not to be present at next week s Conference is a matter for him and the political demands he has chosen on which to determine his priorities You would not expect me to comment on his decision However I don t have to rehearse with you that successful long term Best Declan Forwarded Message
4484,Re: <no subject>,Declan Thanks for your email Of course it s not personal But I do think it s wrong When we were in Government we believed we could only succeed if we treated Northern Ireland as a bi partisan issue and I encouraged other Governments to adopt the same approach That meant when President Bush was in the White House I went out of my way always to see and brief Democrats in Congress and in the Senate whenever I came to the States It also meant when we held the first economic conference led by Mayor Bloomberg in Belfast the dinner we gave at Hillsborough was not restricted to just those in respective Governments In respect of how we handled the issue within the UK that didn t mean I invited the Shadow Secretary of State to share every platform but the Shadow was not excluded from being at major events Indeed we made a point of not only saying we were bi partisan but acted accordingly Having brokered the Hillsborough Agreement and having discussed with your Secretary of State at all stages how the US could help through an Economic Conference I am obviously somewhat disappointed not to have been invited to attend the Conference in any capacity That of course should never be confused with my deep respect and admiration for Secretary Clinton Frankly without her help during her time in the White House as a Senator as a candidate and now as Secretary we could never have made the progress we did You will know that at the time I was always disappointed that her contribution to the peace process and political process was not recognized appropriately by the Conservative Party and their spokesmen when they were in Opposition The decision by Owen Patterson to decide not to be present at next week s Conference is a matter for him and the political demands he has chosen on which to determine his priorities You would not expect me to comment on his decision However I don t have to rehearse with you that successful long term economic investment in Northern Ireland will require building not only a stable peace process but continuing to build cross party and cross community consensus I am sorry we have not been invited to help The current coalition Government in Britain will not always be in power and it may not even last the course It seems regrettable that in such a challenging global economic environment that those of us who helped build the peace are not even invited to continue helping Best Shaun
4485,Re:,Ok Has it gone out yet
4486,Re: Can you come back--I have one more question.,Coming
4487,FW: USSC LTG Dayton,fyi
4488,some nice news,To take your mind off the Balkans for a second see below a great plug for our global entrepreneurship program which Lorraine Hariton and Steve Koltai are running I commissioned a memo last week from Greg Behrman on S P as to how we could pull the various different entrepreneurship efforts initiatives that are part of MEPI post Cairo follow up etc something bigger under the Entrepreneurship Program umbrella we will have it for you when you get back AM
4489,Fw: Inzko,From phil
4490,Fw: UNSC Elections,Fyi
4491,FW: Your meeting with Simoes [Brazil],RELEASE IN PART B B D HRC Just fyi for you note the highlighted parts
4492,Fw: Iranian participation in Rome,Fyi
4493,"Fw: BBC on Apps4Africa - ""Moo-bile Innovation""",Fyi good coverage Jm
4494,"Re: BBC on Apps4Africa - ""Moo-bile Innovation""",Really solid
4495,Fw: (Haaretz) Netanyahu to Biden: Palestinians must not take unilateral steps toward,state
4496,Burma,Quick summary of Burma elections While there was no independent election observation or monitoring of Burma s elections anecdotal and initial media reports suggest low to medium voter turnout There were no major incidents that disrupted polling according to available information The United States declined to participate in staged Government of Burma GOB led election tours as did EU missions Though all signs point to a full victory for pro regime parties the GOB has not announced election results yet and has not provided any clear indication of when it plans to do so Opposition and exile groups claim advance voting schemes are one indication of significant fraud and vote rigging End Summary
4497,Fw: (AP) Israel announces new east Jerusalem housing plans,See Alon s analysis below
4498,FW: -- Wanted to make sure Hillary and you'd seen this -- Released at 1:00 PM,Today Statement from Lisa McGovern
4499,Tomorrow,This is your day tomorrow Anything you want to add or take off am DEPART Private Residence En route State Department drive time minutes am ARRIVE State Department am PRESIDENTIAL DAILY BRIEFING am Secretary s Office am DAILY SENIOR STAFF MEETING am Secretary s Conference Room Participants Jack Lew Pat Kennedy P J Steve Mull Koh Anne Marie Rich and Joe Macmanus am MONDAY MEETING w ASSISTANT SECRETARIES am Principals Conference Room am OFFICE TIME am Secretary s Office am VIDEOS pm Room th Floor Staff Case Note Room reserved from am to pm International Education Week FINCA th Anniversary Mobile Money Policy Forum Freedom Fields USA Gala pm OFFICE TIME pm Secretary s Office pm STAFF MEETING pm Secretary s Outer Office Participants Jack Lew Chollet Rich Note Meeting called for pm
4500,Re: Did you get any feedback from BC?,No we spoke for about mins before the meeting he said he d try to call after but did not
4501,Re: Fwd: Mark's election night HuffPo piece,Rec d all
4502,Mini Schedule 11/9/10 Tuesday,am DEPART Private Residence En route State Department am ARRIVE State Department am PRESIDENTIAL DAILY BRIEFING am Secretary s Office am DAILY SENIOR STAFF MEETING am Secretary s Conference room am MONDAY MEETING w ASSISTANT SECRETARIES am Principals conference Room am OFFICE TIME am Secretary s Office am VIDEOS pm Room th Floor pm OFFICE TIME pm Secretary s Office pm STAFF MEETING pm Secretary s Outer Office TBD DEPART State Department En route Private Residence TBD ARRIVE Private Residence Olt
4503,just a little self-promotion,I know I m not supposed to lift my head from the QDDR but just thought you would like to see this it s for all the ideas you wanted promoted when you picked me AM The Crossroads Nation By DAVID BROOKS Bill Clinton used to talk about building a bridge to the st century President Obama talks about laying down a new foundation But Clinton was always vague about what the land on the other side of that bridge was going to look like and Obama is vague about what edifice is going to go on top of that foundation They are vague because nobody is clear about what sort of country America is going to be in or Nobody has quite defined America s coming economic identity In thinking about this question it probably helps to start at the beginning Five hundred years ago agriculture was the major economic activity One hundred years ago it was industrial production Now of course we re living in an information age Innovation and creativity are the engines of economic growth Howard Gardner of Harvard once put together a composite picture of the extraordinarily creative person She comes from a little place somewhat removed from the center of power and influence As an adolescent she feels herself outgrowing her own small circle She moves to a metropolis and finds a group of people who share her passions and interests She gets involved with a team to create something amazing Then at some point she finds her own problem which is related to and yet different from the problems that concern others in her group She breaks off and struggles and finally emerges with some new thing She brings it back to her circle It is tested refined and improved The main point in this composite story is that creativity is not a solitary process It happens within networks It happens when talented people get together when idea systems and mentalities merge Now imagine you are this creative person in the year or You are living in some small town in Ukraine or Kenya or some other place foreign or domestic You long to break out and go to a place where people are gathering to think about the things you are thinking about creating the things you want to create If you are passionate about fashion maybe you will go to Paris If it s engineering maybe it ll be Germany But if you are passionate about many other spheres I suspect you ll want to be in America You ll want to be in the U S because English has become the global language You ll want to come because American universities lead the world in research and draw many of the best minds from all corners of the earth You ll want to be there because American institutions are relatively free from corruption Intellectual property is protected Huge venture capital funds already exist Moreover the United States is a universal nation There are already people there with connections all over the world A nation of immigrants is more permeable than say Chinese society You also observe that America hosts the right kind of networks ones that are flexible and intense Study after study suggests that America is one of those societies with high social trust Americans build large efficient organizations that are not bound by the circles of kinship and clan Study after study finds that Americans are not hierarchical American children are raised to challenge their parents American underlings are relatively free to challenge their bosses In this country you re less likely to have to submit to authority From this story you can see that economic power in the st century is not going to look like economic power in the th century The crucial fact about the new epoch is that creativity needs hubs Information networks need junction points The nation that can make itself the crossroads to the world will have tremendous economic and political power In Anne Marie now director of policy planning at the State Department wrote an essay for Foreign in which she laid out the logic of this new situation In a networked world the issue is no longer relative power but centrality in an increasingly dense global web s essay was titled America s Edge That is apt Americans are now in a depressed state of mind As China and India rise nearly two thirds of Americans believe their nation is in decline In fact the U S is well situated to be the crossroads nation It is well situated to be the center of global networks and to nurture the right kinds of networks Building that America means doing everything possible to thicken connections finance research to attract scientists improve infrastructure to ease travel fix immigration to funnel talent reform taxes to attract superstars make study abroad a rite of passage for college students take advantage of the millions of veterans who have served overseas The nation with the thickest and most expansive networks will define the age There s no reason to be pessimistic about that
4504,RE: just a little self-promotion,Love it
4505,RE: Pis try the following,I didnt get it to my State account So frustrating but I see it here now I ll get going on them
4506,RE: Pis try the following,MS Here below is where we stand on calls You left a lot of messages The ones that are blank we have not yet tried I ll mesh this with your call grid
4507,Fw: Commission on the Status of Women,Anyone else you want
4508,Re: QDDR,sullivanil state gov we will get you the most up to date chapter tomorrow On Tue Nov at PM H HDR c intonemai com wrote Will I get the revised chapter tomorrow
4509,Mini Schedule 11/10/10 Wednesday,am DEPART Private Residence En route State Department am ARRIVE State Department am PRESIDENTIAL DAILY BRIEFING am Secretary s Office am DAILY SENIOR STAFF MEETING am Secretary s Conference Room am MANAGEMENT TEAM MEETING am Deputy Secretary s Conference Room am DIGITAL VIDEO CONFERENCE w PALESTINIAN AUTHORITY am PRIME MINISTER SALAM FAYYAD HST Press Briefing Room am DEPART State Department En route White House am ARRIVE White House am MEETING wNICE PRESIDENT JOE BIDEN pm Office of The Vice President West Wing The White House pm DEPART White House En route State Department pm ARRIVE State Department pm MEETING w HEIFER INTERNATIONAL PRESIDENT JO LUCK pm Secretary s Outer Office pm OFFICE TIME pm Secretary s Office pm WORKING LUNCH w EGYPTIAN FOREIGN MINISTER AHMED ALI pm ABOUL GHEIT Madison Monroe Rooms gth Floor pm PRESS PREP pm Secretary s Office pm JOINT PRESS AVAILABILITY w EGYPTIAN FOREIGN MINISTER ALI pm ABOUL GHEIT Treaty Room h Floor pm OFFICE TIME pm Secretary s Office pm MEETING w SLOVAK PRIME MINISTER TVETA RADICOVA pm Secretary s Conference Room pm DROP BY EAP POST TRIP CELEBRATION PARTY pm HST EAP Front Office pm PHOTO w TRINIDAD AND TOBAGO PRIME MINISTER pm KAMALA PERSAD BISSESSAR East Hall Th Floor Tbd pm DEPART State Department En route Private Residence Tbd pm ARRIVE Private Residence
4510,"""Direct""",This is Jonathan s email on the issue
4511,FW: FROM MIKE POSNER - trip report,FYI
4512,Re: All praise on Haiti,Can you talk meet today
4513,Re: All praise on Haiti,Am on call now so let me know when you can talk later
4514,Re: Venezuela,Good Let s document all of this
4515,Re: Water,Ok Safe travels
4516,"Re: Hope you are well, where ever you get this-- below are ideas re: education corps for",Haiti that you asked for Great ideas no surprise Let s work toward solid proposal maybe to Red Cross and Clinton Foundation since they have unencumbered
4517,"Fw: Hope you are well, where ever you get this-- below are ideas re: education corps for",Haiti that you asked for Pls print
4518,Re: Cuba-USG Cooperation re Haiti,I agree
4519,Re: Border Issues Update,Ok Anything else to discuss Hope you get some sleep
4520,Re: Year-end report,Thx I ll be ready to discuss tomorrow
4521,Re: It Never Rains,I didn t know they were doing operations in the conference room Can we get some details and promise new carpet
4522,RE: just a little self-promotion,Many thanks And we re getting there I PROMISE you AM
4523,Fw: Note,Want to make sure you both got this
4524,Re: Note,Yes
4525,Fw: KORUS,This was bubbling in news reports
4526,FW: House Schedule,CQ TODAY ONLINE NEWS CONGRESSIONAL AFFAIRS Nov p m House Democrats Plan Schedule for Lame Duck Session By Alan K Ota CQ Staff House Democratic leaders on outlined a schedule for the lame duck session that would have lawmakers in town for at least two weeks in and early Chris Van Hollen D Md assistant to Speaker Nancy Pelosi said in an interview after a conference call among Democratic leaders that lawmakers were likely to work through next week take a week off for the Thanksgiving recess and return for a second and for now final week from Nov to Dec Van Hollen who is poised to take over next year as the top Democrat on the Budget Committee said he was unsure how Democrats would resolve disputes over unfinished business such as tax cuts that are set to expire Dec and funding for federal programs beyond the stopgap spending measure PL that expires Dec We simply identified some of the issues that are out there Van Hollen said of the private leadership chat Obviously the big issue is how we deal with various tax issues And then there s the issue of an omnibus spending bill versus a continuing resolution There are a lot of other potential issues We re going to try to get the nutrition bill He was referring to ongoing talks over a possible extension of expiring provisions of the and tax cuts PL PL the debate over whether to move an omnibus spending bill for fiscal or another temporary spending measure and a stalled child nutrition bill HR Van Hollen said that Pelosi D Calif did not bring up the issue of the tough caucus race for minority whip the second ranking Democrat in the next Congress between Steny H Hoyer of Maryland and E Clyburn of South Carolina Both men were on the telephone call Van Hollen said but the issue did not come up Democratic aides said Pelosi has encouraged both men to reach a settlement to avert the potentially bloody intraparty fight That wasn t part of the discussion Van Hollen said
4527,Fw: Security Talks,See below Also Allawi appears to be in
4528,Re: Let me know when we can talk.,Will call shortly
4529,"Oh, my--and , thankfully, Happy New year!",Dear Anne Marie I was just reading your two wonderful memos on P accomplishments and the QDDR I also want to thank you for a wonderful year of work creativity collaboration and progress I know the start for all of us was shaky but we have hit our stride and you are such a valuable member of the team a generator of ideas a conductor of talent and even a necessary nudge from time to time Thank you for making this journey w me I will schedule the S P visit and photo as soon as I can Until we see one another next week be well and take care please All the best Hillary
4530,Happy New Year!,Thx for sending the emails about the Nigerian We are working on all of the issues raised I hope you and the boys men have a happy healthy prosperous I will look forward to seeing more of you in the upcoming months All the best H
4531,Happy New Year!,Dear Jim I hope you and your family have had time to enjoy the holidays together and that brings blessings to you all Thanks for all your great work support and advice this past year and I m looking forward to the year ahead All the best Hillary
4532,Fw: End of day Iraq wrap-up.,Fyi
4533,Blackwater case,First Happy New Year to you and your family and thank you for all of your great work this past year I am looking forward to the year ahead Second what can we do about Judge Urbina s ruling example what is the likelihood of success on appeal Can the US file a civil action against the company Pay compensation to the victims What other options do we have For B All the best H
4534,Re: Blackwater case,Thanks as always
4535,Xmas TYs,Rob First Happy New Year and thank you for all of your great work this past year It is a treat having you on our team and I m looking forward to an even better Also pls let me know if you have any ideas about how we could improve our processes and products Thanks for everything
4536,Question,First Happy New Year to Jen and clan Hope to talk soon about our way forward for I received the following email from Jairem Ramesh over the holidays I intend to respond in kind but wanted to run by you for advice Thx HRC Dear Madam Secretary of State It was wonderful catching up with you in Copenhagen The opportunity to interact with President Obama and you at the very last minute to salvage the Copenhagen Accord at the US BASIC Summit Meeting was fantastic and unforgettable for me personally I am still reeling from that historic minutes With greetings for Xmas and best wishes for the New Year With warmest regards Jairam Ramesh
4537,Question,First Happy New Year to Jen and clan Hope to talk soon about our way forward for I received the following email from Jairem Ramesh over the holidays I intend to respond in kind but wanted to run by you for advice Thx HRC Dear Madam Secretary of State It was wonderful catching up with you in Copenhagen The opportunity to interact with President Obama and you at the very last minute to salvage the Copenhagen Accord at the US BASIC Summit Meeting was fantastic and unforgettable for me personally I am still reeling from that historic minutes With greetings for Xmas and best wishes for the New Year With warmest regards Jairam Ramesh
4538,Happy New Year!,I hope you and the clan had a glorious and joyous holiday and that you re revved up for Thanks for all you did to make this past year a successful launch Now the hard work starts as we try to deliver But it s no hyperbole to say you are a joy to work Onward and upward H
4539,Call list and HRC Support Network,Pis add Marsha Lauffer but I think she s moved to Florida so ask KPK if she has another Stephanie Minor and Jack Mannion she s the new mayor of Syracuse Sen Kit Bond to discuss his book The Next Front Farmer Add Sec Ken Salazar note the Arctic Jon Bon Jovi TY Jo Luck Cong Dianne Watson Kirsten Gillibrand cybersecurity Marvin Hammlisch Martha Stewart Hunter omit from the end and move up Sec Sebelius Ed Koch Dorothy Height Pls remove from list the following Thomases Corzine Engel Kenney Newsom Webb Allida Black Chavez Schneider Mutombo Loida Winifred Greene Also we have to decide what to do w the Fan Club and tell Ruth Love and Rosemary Should we invite them to lunch Also whatever happened w
4540,Re: CA speech,Will do
4541,Re: Xmas TYs,Thx Here are a few more
4542,FW: Tax reform essential for rescuing Pakistan's economy,Fyi in case you have not seen this Interesting piece I ve attached a copy of the full article
4543,More about call list,Take off Bendheim Destito Latham Suozzi Brian Roberts
4544,RE: Cookstoves,We spoke to the Norway s Ambassador to the UN and they are joining the Alliance for Clean Cookstoves for the first year They noted that this is a down payment and would contribute a substantial amount for this endeavor in the future They wanted to move quickly for the CGI announcement and ant to see a business plan before they commit more Thnx for making this important call Other countries including France and Finland were waiting for the Norway signal
4545,Re: Jordan 123,Yes On Thu Sep at AM H HDR e intonemai com wrote Can you find out what the status is of Jim S s efforts on this You may not be able to do so before my mtg w the King But I need to know what to say to him and in the press statement about it
4546,Happy New Year and onto 2010!,Rich Thanks for all you did to make the past year a successful one I hope you and your family will have a happy and healthy new year I m looking forward to Here s some questions and I m copying so he can help w the followup Right before I left Kirsten Gillibrand called to discuss her cybersecurity bill She wants to draft it so it favors State I told her we would connect her up w the right person who would call her to discuss in the new year Who should that be in your shop or elsewhere Pis let me know so I can call and tell her When I was in Kabul the Aga Khan told me he had given a roadmap to stability in Afghanistan and wanted me to see it That s all I know can you track it down
4547,Happy New Year!,I hope you had a wonderful holiday season and thank you for all of your help this past year You ve been a life saver I m looking forward to being even better Here are a few things as we start the year I d like to work w you to prepare a menu for Jason Also does he give me a monthly bill for the food he buys and prepares for me Could you or he buy skim milk for me to have for my tea Also pls remind me to bring more tea cups from home Also pls try to get me a copy of the Human Rights Watch report titled We Have the Promises of the World Women s Rights in Afghanistan Can you give me times for two TV shows Parks and Recreation and The Good Wife
4548,"fyi, more later on campaign... Sid",The Daily Mail Catty Carla Bruni lifts lid on Michelle Obama s hellish job By Peter Allen and Seamark Last updated at AM on th Michelle Obama thinks being America s First Lady is hell Carla Bruni reveals today in a wildly indiscreet new book Miss Bruni reveals that Mrs Obama replied when asked about her position as the U S president s wife Don t ask It s hell I can t stand it Details of the private conversation which took place at the White House during an official visit by Nicolas Sarkozy last emer ed in Carla And The Ambitious a book written in collaboration with Miss Bruni No secrets Michelle Obama left and Carla Bruni last year Bruni made the revelations about the U S First Lady s feelings in a wildly indiscreet new book In it she says one term as French president will be enough for her husband and suggests he might take tips from his friend Tony Why not start making money More France hits back at EU after accusations Sarkozy government acted like Nazis in treatment of Roma According to a friend quoted in the book the Sarkozys have been impressed and inspired by Mr s fortune built up since he left Downing Street Miss Bruni also takes a thinly veiled swipe at Princess Diana when talking about a visit to an African hospital full of Aids victims earlier this year She says she refused requests by French cameramen for a photograph of her carrying a baby in her arms like Lady Di adding There s something obscene in promoting yourself when you are giving of yourself Time limit Carla with husband Nicolas Sarkozy She claims one term as French president will be enough for him Disagreements Sarkozy with former wife Cecilia in Carla recounts a telephone row with her in her new book In the book the Italian model accuses French government officials of trying to kill her husband with too much work and claims Mr Sarkozy lets himself be bullied complying Comparing herself to other leaders wives Miss Bruni says I m so different I was a model I sing and I want to continue to sing And on top of that you expect me to be subtle And she admits I am a femme fatale my dear She also recounts a telephone row with Mr Sarkozy s ex wife Cecilia who warned her that Mr Sarkozy had not yet turned a new page after their marriage Miss Bruni replied Not only has he turned a page but he s changed books altogether And you are the only person on earth not to have noticed it Read more http www dailymail co uk news worldnews article Michelle Obama thinks First Lady hell savs Carla Bruni html ixzz zf aSfQi
4549,Schedule,There will be an inauguration in Uruguay in Feb or Pls find out exact date Also I told FM Sikorsky I would attend Community of Democracies mtg in Poland this summer He said we could pick date Do you have any more info
